symbol,base,quote,status
GIGGLEUSDT,GIGGLE,USDT,TRADING
FUSDT,F,USDT,TRADING
KITEUSDT,KITE,USDT,TRADING
MMTUSDT,MMT,USDT,TRADING
SAPIENUSDT,SAPIEN,USDT,TRADING
ALLOUSDT,ALLO,USDT,TRADING
BANKUSDT,BANK,USDT,TRADING
METUSDT,MET,USDT,TRADING
ATUSDT,AT,USDT,TRADING
KGSTUSDT,KGST,USDT,TRADING
BREVUSDT,BREV,USDT,TRADING
币安人生USDT,币安人生,USDT,TRADING
ZKPUSDT,ZKP,USDT,TRADING
UUSDT,U,USDT,TRADING
FRAXUSDT,FRAX,USDT,TRADING
FOGOUSDT,FOGO,USDT,TRADING
RLUSDUSDT,RLUSD,USDT,TRADING
SENTUSDT,SENT,USDT,TRADING
ZAMAUSDT,ZAMA,USDT,TRADING
ESPUSDT,ESP,USDT,TRADING
MANTRAUSDT,MANTRA,USDT,TRADING
ROBOUSDT,ROBO,USDT,TRADING
OPNUSDT,OPN,USDT,TRADING
NIGHTUSDT,NIGHT,USDT,TRADING
CFGUSDT,CFG,USDT,TRADING
KATUSDT,KAT,USDT,TRADING
XAUTUSDT,XAUT,USDT,TRADING
USDSUSDT,USDS,USDT,TRADING
CHIPUSDT,CHIP,USDT,TRADING
MEGAUSDT,MEGA,USDT,TRADING
AIGENSYNUSDT,AIGENSYN,USDT,TRADING
GENIUSUSDT,GENIUS,USDT,TRADING
OPGUSDT,OPG,USDT,TRADING
MUBUSDT,MUB,USDT,TRADING
CRCLBUSDT,CRCLB,USDT,TRADING
NVDABUSDT,NVDAB,USDT,TRADING
SNDKBUSDT,SNDKB,USDT,TRADING
TSLABUSDT,TSLAB,USDT,TRADING
SPCXBUSDT,SPCXB,USDT,TRADING
REUSDT,RE,USDT,TRADING
AMDBUSDT,AMDB,USDT,TRADING
EWYBUSDT,EWYB,USDT,TRADING
INTCBUSDT,INTCB,USDT,TRADING
MSTRBUSDT,MSTRB,USDT,TRADING
LITEBUSDT,LITEB,USDT,TRADING
METABUSDT,METAB,USDT,TRADING
MSFTBUSDT,MSFTB,USDT,TRADING
PLTRBUSDT,PLTRB,USDT,TRADING
QQQBUSDT,QQQB,USDT,TRADING
GRAMUSDT,GRAM,USDT,TRADING
CBRSBUSDT,CBRSB,USDT,TRADING
COINBUSDT,COINB,USDT,TRADING
DRAMBUSDT,DRAMB,USDT,TRADING
GLWBUSDT,GLWB,USDT,TRADING
GOOGLBUSDT,GOOGLB,USDT,TRADING
NBISBUSDT,NBISB,USDT,TRADING
QCOMBUSDT,QCOMB,USDT,TRADING
SOXLBUSDT,SOXLB,USDT,TRADING
SPYBUSDT,SPYB,USDT,TRADING
WDCBUSDT,WDCB,USDT,TRADING
SKHYBUSDT,SKHYB,USDT,TRADING
AAOIBUSDT,AAOIB,USDT,TRADING
ARMBUSDT,ARMB,USDT,TRADING
AVGOBUSDT,AVGOB,USDT,TRADING
BABABUSDT,BABAB,USDT,TRADING
HOODBUSDT,HOODB,USDT,TRADING
IBMBUSDT,IBMB,USDT,TRADING
MRVLBUSDT,MRVLB,USDT,TRADING
NOKBUSDT,NOKB,USDT,TRADING
TSMBUSDT,TSMB,USDT,TRADING
RKLBBUSDT,RKLBB,USDT,TRADING
AEROUSDT,AERO,USDT,TRADING
AXTIBUSDT,AXTIB,USDT,TRADING
CRWVBUSDT,CRWVB,USDT,TRADING
INTWBUSDT,INTWB,USDT,TRADING
KORUBUSDT,KORUB,USDT,TRADING
MUUBUSDT,MUUB,USDT,TRADING
MVLLBUSDT,MVLLB,USDT,TRADING
ORCLBUSDT,ORCLB,USDT,TRADING
QNTBUSDT,QNTB,USDT,TRADING
SNXXBUSDT,SNXXB,USDT,TRADING
TQQQBUSDT,TQQQB,USDT,TRADING
AAPLBUSDT,AAPLB,USDT,TRADING
AMATBUSDT,AMATB,USDT,TRADING
AMZNBUSDT,AMZNB,USDT,TRADING
BEBUSDT,BEB,USDT,TRADING
DELLBUSDT,DELLB,USDT,TRADING
FLNCBUSDT,FLNCB,USDT,TRADING
GSBUSDT,GSB,USDT,TRADING
PYPLBUSDT,PYPLB,USDT,TRADING
SMHBUSDT,SMHB,USDT,TRADING
SOXSBUSDT,SOXSB,USDT,TRADING
ASMLBUSDT,ASMLB,USDT,TRADING
ASTSBUSDT,ASTSB,USDT,TRADING
BMNRBUSDT,BMNRB,USDT,TRADING
COHRBUSDT,COHRB,USDT,TRADING
CRDOBUSDT,CRDOB,USDT,TRADING
IRENBUSDT,IRENB,USDT,TRADING
NFLXBUSDT,NFLXB,USDT,TRADING
SMCIBUSDT,SMCIB,USDT,TRADING
USARBUSDT,USARB,USDT,TRADING
ALABBUSDT,ALABB,USDT,TRADING
GMEBUSDT,GMEB,USDT,TRADING
DJTBUSDT,DJTB,USDT,TRADING
CRWDBUSDT,CRWDB,USDT,TRADING
MRNABUSDT,MRNAB,USDT,TRADING
SQQQBUSDT,SQQQB,USDT,TRADING
STXBUSDT,STXB,USDT,TRADING
MARSCOINUSDT,MARSCOIN,USDT,TRADING
CRMBUSDT,CRMB,USDT,TRADING
HIMSBUSDT,HIMSB,USDT,TRADING
牛来USDT,牛来,USDT,TRADING
BNCBUSDT,BNCB,USDT,TRADING
GPROBUSDT,GPROB,USDT,TRADING
RDDTBUSDT,RDDTB,USDT,TRADING
