# Echte Wallet-Liste des Nutzers, exportiert aus Axiom (2026-09-18).
# Format: <adresse>[,<label>] - siehe src/wallet_tracker/wallet_list.py Docstring.
# label = Axiom-Name (Emoji entfernt, Duplikate nach erster Adresse uebersprungen).

4uFYTjbK86ZTACXyhQMvLZQH3BrrbnPmrcLbx7DYPDam,NPAY
3jzSDHYGrt2iN9kbUbWkREZVjLJ9TSbEtNb7djY28T35,bumper
F9ENp6A75Qr1XR8FGNvEkGkG4GKwNtr1E2TiV5T3Lruj,OTT4
4pqD14u2Wd3MpNsC5tYQeNyJGigGGrcVBLEyjo1XZkxJ,profitier
7bqZMF2Dc5LspsQQeQgBdPKuy8oUm5uztQj9jVTcYXZv,becker
H31vEBxSJk1nQdUN11qZgZyhScyShhscKhvhZZU3dQoU,Faze Megga
D41BUzvz4W1y5oBQc3ui4adUdAZKEjj3iHuvGup1EZZv,pamper
AssUhSvBEbN7pVvWqhn4BcCYz5bWRbJLkVSttpdBgNc7,pamper
4sAUSQFdvWRBxR8UoLBYbw8CcXuwXWxnN8pXa4mtm5nU,scharo
7McKpCN38mbVu6fzkve4bWTUQFxmVzRDsXH84jyZPpqX,mort
4ZjYSCH3Sib9iMSM3QN2sL2kwxNcXG2P4XCemSC2hsyb,nom
ByawfdMmv5d5gUJUo8MdzngTF3GZbNbXxLG8YJo1wfn,bands ps
4L2v6MBtswTi91LNXNoxWc9SFn4eaerTpNsHGSqQCVZW,west
GiF4hSkBiYgxJ9Rs2FVo8zJunNqpfLJEioL4KAwGtohK,copytrader ohK
3K6NEUXqPj45tmoeSD135ffJ3eo6ouGV2onRWJZFpY3Q,nolan
B8vnpRRkacuKKdS8tEDamSovXC2tPECheVSRcgNebnab,bnab
9BsZN8E8a84Vvh2UFVJmovUNbbkFiGLABXJqbTf8vRiR,dood rapist
JAJADxeUZgLtV7kaeCsWW2tyGqZ2tpVa7ctdZsHFESFn,log
HAHAJhcY7xWsPVQpMUgnaRgi2uxWBxwhPuuGppr4qmLz,log
TimeAdRpWxqKXR5YPEwGBF48KC5V5TxB2g6mnyCp4VR,Time
4x2uPAD4vR83MqHdvEYZYnpoZcZBa8fWUNPyGhoeKEow,Eow
8mvfpiGG8dK5iYG49eyXZT1sVeJ1F12TpgmdubS49YKN,ykn
6Eq4gQaaGX5NUKe8hp9FGRMFQkY237Homjar418pR4pe,R4PE
xXxXZxyF6pik6YmTbNDwbYBErJUaRiaxjTJsUABos5G,xXx
CXnf4Tt7qFz3KZNwn3Yve5MKaRyxGoAy2eDX3QT8e99m,trav
7FWR2NsCfQP66RTqww9xiSzb3r2jLa3DyiY1oif1oKPu,baoskee
BQ6gHCvYsrSBB37sJvBGrbma1RXWJGdUj5ju3uXwCW82,scharo2
HkFt55P3PhRWHXoTFeuvkKEE4ab26xZ1bk6UmXV88Pwz,terp
4fErksUdVqFSF9GSoqeapqvtZwm4YifWvWArdJohLix7,Kevszn
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,mitch
BK5bTK7mXPTEqdB8CYFwsk8pmjLWVJp127hxoTbSmEHZ,earl pump sad
B7Jibp8Y6Qot3hhJhmBonpMYnbTttHebw7fnsjK85yrU,Created
AA61V4Ry7Ud7SrKidKqMW1xTfUDsNs8Fr8YmBmjYS7De,log new
DScqtGwFoDTme2Rzdjpdb2w7CtuKc6Z8KF7hMhbx8ugQ,shaw
53BnNc49Ajgstciq3CRoyxuBpkkW1r8pgPyvr7JGYnsh,Monki
HdxkiXqeN6qpK2YbG51W23QSWj3Yygc1eEk2zwmKJExp,itai
6hHfDSagPQv4ouhr7x17jp9tQNfqUhdJWFHY5mEHnLp2,lunar
AQ46kfYT3hW28Xg5gWHrJkzFSz1oGWBHC3FsTbqgMEco,Yug1
HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3,dmt
GQetkDMK82cHYXZVqZgv7Lf5Bqo4V5KR8WASQM39x2Uc,Staticcs
DaWrXYYFUbseEDXyHEGCxu2MSeSWkH6WK3eZfijL4z1n,Rename wallet
FqrffkWrBX8yCazfECny1YiQhkBme2E39ThEab1cxKfz,orangie
BKFsedJTgNLYotumqtrfWPqU1rZkzNBwNVMSenf1KTNt,orangie
9ap4XSoATNGdxoeMKrcNWtboatrW2PpTedwWaneQTtMe,orangie
GRamkEB3FuZeB7vzsP3VywiohRAttrjER5PxmHBGNtQi,quant
BtDaZUqHr2mKH5EYQCztuerHBuBEfQNYdquTDtEZp2Ym,vein
2cY7x8rVavyw4p7bDYLwctiCeaLqWvyU2xCsqfi4kgqc,thesis
JEBy7VuMsCqZDdprhmUNjB1MHTmt5dUFDeMXytbhTLdR,pump sad pablo
CLu4FJzmJ4qDfs5aNc64tWQ5B7FUy52CUiA1EeYfftr4,x
HpabPRRCFbBKSuJr5PdkVvQc85FyxyTWkFM2obBRSvHT,coinbase
HdjAyXGuEMnTBi9vmqb8ws83BpU3hAoyoici8XUy8QSH,DEFAULT
9AisNb7DJ58ueNC9DLZVx1JgpQ3P93gnvZzmwVef5dRs,west
2j7aWjSxWsRjJrmaYjSmwzH26dDYv3hkvAc2aNhn8oLP,west
G3yqtdtQjJ87ERLMApbwnEeCNzP9BcX6LrR84ut7Qgnw,yolo
8ah1FdxvQufHRH4LQGoncUmNLc6Mfj7MwD4DM2pewoSH,kev
3oB4kFkceZmmXPYZT9WJfTYvjkUBS4upr1ssWpV5aa1A,aia
3XoUvPJFZ21KeVQBWVDVJP7nQtQvDRvW5n2Mw3wnb5w8,danny
kaiUXfbLaRkCXUd1bT4znGnRBvXqhHZnGcrEkXHvkai,YourKai
a16ZRRPYzkCgED9ECcFd9vdrFzW775Z2DqmAEsSZDGE,a16z
J3WSVQdfyeTy5x5iTEV2bNXnzfoP2a5iT69jE6ZxZRyw,j sol
5GdBK4NkaC98cyTFKgjtGyn8kqrWTTxhy3zYMXB3vGZ4,juciy
CkaAt24iBsRmYLnx24MrKe8scrxYxzXDco5AQ2jCq79F,juicyfruitty
cfKTJqVCaTt8Z7h46bpNEbymU295GD2ZJ59xf7qAxuM,trey
GobsYMqCk3VQUueH4VBKuEzbVko4X1PAAi8DSM2gSCSq,trey
8NgSPEZcJBg78z78n4FejqtQZ4HzpWNXMMV7yJiU7PWf,daniww
AuPp4YTMTyqxYXQnHc5KUc6pUuCSsHQpBJhgnD45yqrf,daniww
G7mfcf5GbZezcBKqcDo5u16TSLARTVxTRSjXxDYbVnaq,daniww
37N7EeV3UDe1zZ4FwL6sJ4BF37WJ1f3wdttKkP1uKseE,AlxCooks2
Cs74tKou4YtUtRTv38t3k7sxYss6xFxUZbydiq4Un1qR,AlxCooks2
cZDRUkxdmTUbUFoVDWeziUL6gfd9MNWGTd8THiN7Rnw,87
7P6tp4KbxZpQrKFXRUbuW3VtDSp7AHAxAC5vYWa1QnBF,alx
DXUDwz9Wu5sSiomqRYkpiB95MrBuxLDRYSNXvCPDnGCM,grapist
8JLaADywkq9r9gUZtzu8NtZ5wpQXEHqjf8bnWSkyuiVN,pedia2
HTM87R4mgjDdiF6Yfn8duK9vbDmZxiPCTRbGvm7eCAJY,absol
8HeDT75s5g4CtCimH5B5nySqCiQhtWii8UnZhxBtFo38,kreo
Dns5honDe4t792ihYDyQNAAPeWDweH6Na8ssxpQYGBT3,west
4jfcYe53QjdceXbiJEAQx54n9dvoUZSn74fMvT84nnKX,west
HiTcw6obM5YAzDWdAzY5rJKh67QhVpKfNRjfDpBtDL3R,RICO
8MA4b2s2NJDwRwddutzvAouv2otfgjr9KY6HbGsnwDiT,gasp
DBzwrJvpDDpUvxGyxHJdoNsswTViaGk5vdoKErr8Y3Sq,3sq
Hgqc79Kz4QoMBo6jrtvds22Hki98hAx4Rvj5oHRUbKZD,morph
48kEQe5dRSqDn6paQPdeopghWDX3RAuWtb5EcgoatSa4,morph
8deJ9xeUvXSJwicYptA9mHsU2rN2pDx37KWzkDkEXhU6,Cooker
F5jWYuiDLTiaLYa54D88YbpXgEsA6NKHzWy4SN4bMYjt,mercy
6LChaYRYtEYjLEHhzo4HdEmgNwu2aia8CM8VhR9wn6n7,Assasin.eth
3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE,jidn
GEtFKDqzeTNTW2LtiAYL5ZV3ETwcv68nT9Qav97XaQkY,pump sad rlk
EgzjRCbcdRiPc1bW52tcvGDnKDbQWCzQbUhDBszD2BZm,revrevrev
3Z19SwGej4xwKh9eiHyx3eVWHjBDEgGHeqrKtmhNcxsv,xsv copytrader
BCT2mHG6V254zY5UFtsfKAduzcgJzSLZRRJxRcsGoby4,trey
7eyDwQyps2hiLn1cCjqYzqKGWNBzE13rZp53VYYYUYeX,radiance fn
CbFxEVtevRBgFMyd7mRCScJENRvfECnApkRCHEX6Ef4Z,trey
DKgvpfttzmJqZXdavDwTxwSVkajibjzJnN2FA99dyciK,ROwdy
gangJEP5geDHjPVRhDS5dTF5e6GtRvtNogMEEVs91RV,Q
DuQabFqdC9eeBULVa7TTdZYxe8vK8ct5DZr4Xcf7docy,orangie
6cFEC5gStPd5eakZDP3DzVyDT9KhJeqaYBa1WsBa1kyY,juicyfruity
BeYkrDVFBXW4Ti4BSfspjeXJWxju9hKBtgL2Diy9krWJ,juicyfruityy
C6gKw9VC9mc1KnzxKskATXZc3sNzLTsZpNfNJzKVaG4Y,juicyfruity
2mGNGKYNGCNNz4EXrxz4TPckwGkiyGRNe447HncebYRg,Leck
DYmsQudNqJyyDvq86XmzAvrU9T7xwfQEwh6gPQw9TPNF,up
ifCDsh7WDVn3UtgCSUP8Uo75LxFjyGHVxTDZ1wMXPfq,Pfq
3uz65G8e463MA5FxcSu1rTUyWRtrRLRZYskKtEHHj7qn,Felix
8CLkTAHZt1joF4Swh7YKjGAA8qge1T1SZdoWJJsoGgys,raze
67JSbyEMqJNNcBNzGukvhKRcArJ9qgXPcnyQUJPXNVvC,wiley
24hUy7qdkBJT7y3i2ZnUzNTNggVBiPgchcvbXaRfeCL7,H
J6TDXvarvpBdPXTaTU8eJbtso1PUCYKGkVtMKUUY8iEa,PA!N
5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,Yenni
947RGSg6aYnonnEforjVv8cVFHg2QJzPfHJiPmnnsEAL,pump sad GM
2zWtCEUXybiPEuSqayvnppiR3qXBT5mupMBG2qfMTF9K,good trencher
4wG6KEyNR8WAeydHCDkeQYjFJtTBXQJgzyNTTNLqt1b1,jerry cooks
CU35ZDB4JptaBVQWiq1gZsR8kso6dz1bQj8uR3xGn2kK,chukballs legion
CWFs2YvV5JSHdLecdgrBMGrQZ81dXdzMa6UWj4a8b9Yr,CWF
EYBJLQhCjyPhEBiZLAZN99qQqi53MX8SD9tndkTHj9JY,EYB
6DtEedWf9Wk5hA7Xth82Eq441yf5DA4aGLqaQAVfDokm,alon
7BtwAHaXCki5BKFQz2fKQQAjmNWiq6JkmTS6GwTX5kfi,smart dev
CztkV1nTjdcboLYSDyNYvavksjavwxjVx2vgkBN1LKTm,ORB
5t9xBNuDdGTGpjaPTx6hKd7sdRJbvtKS8Mhq6qVbo8Qz,SmokezXBT
xXpRSpAe1ajq4tJP78tS3X1AqNwJVQ4Vvb1Swg4hHQh,aloh
rapeBWSxw7AW4oxzmUEndNK1o6JAcUh2s1TJqMYiaqD,juicyfruitty
H4CbfVU4NWYkAgbCnsQscZxdBk6SEzEk8sac9Y8QoU2Q,lonely
C8gWvcHV4AiFrMY2xi2ikjrBWD6P5rwzzwjMTVDM42xC,pigeon
KYSGYZp17p7hGsoTJRB4ffy3dpu5M6Xi77YKvB9Z4hs,suppress
ALiR2LoYLUAcU8NAeVFAuP1sUinQS9Cm5NaRKmpyupLj,criminal
4Bdn33fA7LLZQuuXuFLSxtPWGAUnMBcreQHfh9MXuixe,key
EuC9bwq7AhtvgqhzFG5TtB2q8PYmgWbQ7Eei7FaC4oG3,poopymcdink
GH6qWg954466eqMJ5hU5Lt3dpjmuDCyBEMaL8vqrsu8b,gengar
9bAHNiCf3s4N7m2pJzdvWXRDsk9eRkSSbaYVSzAVb9Dv,CVNNOR
BTeqNydtKyDaSxQNRm8ByaUDPK3cpQ1FsXMtaF1Hfaom,Finn Bags
D6B4C5KopAs3TPibLGN2qKDEPjiLmpWdZuZies81cfyC,rand cabal
EjWBrhPapQzjKtNkCXg2j62wfqHpaF9zQYYPgJcBEGam,b2b-power
AjiGHTZaj5iLGsDhwnLT5DVyGP1sc7mQGsVQt7kvvhpf,mort
DZAa55HwXgv5hStwaTEJGXZz1DhHejvpb7Yr762urXam,ozarke
Bu6PXhZoxGG7MMKdEMMK8ZSB3UCbU59sPbn8EqiQReY7,Bu6
87MZqjjJgpuFvaU8GyQJKbZGnCFFhX82qAjBGLRXPfcn,nyrhox
DiddyP7tSoS5e26zzy43QVfgTQ3dJ8ZyLibC3uPAAwQk,DEV
AXgzGEvbgaFeb1xhdXkQc5D5CehZUa89ci2F9ugQPLaA,chubs
EDY5ssvZEx6HHL5BjVs5NjJvc2BHib2pcynZ7v6eMCFZ,Kev2
8RrMaJXYwANd4zEskfPQuSYE35dTzaYtuwyKz3ewcZQx,te
EVEAppfhNZGjuxBPEyvr8x3bsdS4xUUw6YiPJyecM3gq,EVE
3JoVBiQEA2QKsq7TzW5ez5jVRtbbYgTNijoZzp5qgkr2,frank new
FARMbpT39KzziHDRD3PQaih5Fdp2A6wxEx8Pk3wpqN2R,logFARM
685zCAGJ1hfasum3fU7YU19hJp4cU6d7jSZjQY1PfiQY,logan sleuth
4gMyDeCtXpUN91WUJuL8YH9hCDNd67FSQ6S8xZp3MjQe,Wizard
AzLRkTZDN8XhtJ9owcdEwTjhk5utNVYcLxAcPvPyAQfT,CNDL
74kd7Z5LRLhXa17vxDwdELbaHb4h33L2XcYUAXZQcBa3,ORB
4qVQPBGkVZ611JhXqfKp8jm1zjC5SUtoNYAKwGz2VN48,x
F2SuErm4MviWJ2HzKXk2nuzBC6xe883CFWUDCPz6cyWm,earl pump sad
2jyzufCHXmQbhcfAsow84qPEhNRPfbFcfKfg6r6x9c1F,brez
GpLjUnj5q8V6jkaaT7q26rQ4hzn7KYoebLRWfk16hTwh,JDEV
4kkZuoaCU73CgTJPmXLjRBW5nC5Nf3Gi2yE52NCpk5wq,AMZ
FgfzLpCJhHYZVji6Sw7omJDEdTq5C12FrV72HzDtwvb5,s2 wallet
FVxeFYgyT4GC6D7gaLkMSu2qtSJfw2N4RVPZowi2A64Y,Grandfnf2
DGPYpCdiVg2shab2TnNiZ2RnsjBQSmhgN71hJyWC5cYn,Grandfnf1
DpNVrtA3ERfKzX4F8Pi2CVykdJJjoNxyY5QgoytAwD26,GorillaCap
HvpYGTH6uqGia7x6v9ePBuY6mFEvpsJUgXPsqnJmfoRE,pump sad GM
G84Yz6fDA8wun3po1QG6SrGknK3cha2okXog9MmrqAQt,ott4
H66T73iEqzZBrL4jP3sM7AmL1Be816nXysoS4KVxfP4t,orangie huggy
2QV7JLCg1rPpcyh3TyznvZ6q7qjBTpJEtmQska6iYVXp,Euris Rel
ELSyW68qyAToytdaMkyQhgGL9FErGimoPA27AgingJtE,orangie rel
AjoCbSQP6fz9wb8sUQT1wSnA7C14Rr1dvX7H5VHzxzJJ,pump sad h
5HjsA1SDFNjabGtH7peXnmdnQ4Fqbw8uxwqVwKqdj2FC,trey multi
C2hfZGUsJiUpdFfz4chZrmK3KycBLkkfC8HGpvvf6QWV,CNDL
